序号,代码,开发区名称,省份,城市/区县,批准级别,开发区类型,批准时间,核准面积_公顷,主导产业,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,格式化地址,地理编码精度,状态,dist_to_coast_km,pop_density_at_point,pop_density_buffer_mean,pop_density_buffer_sum,forest_treecover2000_buffer_mean,forest_loss_total_buffer_sum,forest_loss_pre_designation,forest_loss_post_designation,forest_loss_post_minus_pre,built_1990_at_point,built_1990_buffer_mean,built_1990_buffer_sum,built_2000_at_point,built_2000_buffer_mean,built_2000_buffer_sum,built_2010_at_point,built_2010_buffer_mean,built_2010_buffer_sum,built_2015_at_point,built_2015_buffer_mean,built_2015_buffer_sum,built_2020_at_point,built_2020_buffer_mean,built_2020_buffer_sum,built_pre_designation_year,built_post_designation_year,built_pre_designation,built_post_designation,built_change_post_minus_pre
540,G336005,杭州之江国家旅游度假区,浙江省,杭州之江,国务院,其他类型开发区,1992.10,988.0,休闲旅游、信息技术、文化创意,120.072746,30.149634,120.06794,30.151926,浙江省杭州市西湖区之江国家旅游度假区,住宅区,ok,9.232,85.019,45.5781,275610.9811,10.0685,2671.0,0.0,2671.0,2671.0,45927.0,18976.8462,1973592.0,74920.0,34059.4231,3542180.0,177494.0,62363.3173,6485785.0,232871.0,80058.9712,8326133.0,267190.0,90085.0962,9368850.0,1990,2000,1973592.0,3542180.0,1568588.0
541,G356030,福州台商投资区,福建省,福州,国务院,其他类型开发区,1989.05,1326.0,鞋、饲料、钢铁制品,119.583861,26.434814,119.579371,26.438321,福建省福州市罗源县台商投资区,住宅区,ok,0.192,19.517,22.1883,50367.4686,20.803,9365.0,0.0,9365.0,9365.0,434.0,4352.534,448311.0,831.0,9348.8447,962931.0,6599.0,15087.5243,1554015.0,10918.0,18416.1359,1896862.0,15600.0,20354.0097,2096463.0,1990,1990,448311.0,448311.0,
542,G356025,福州元洪投资区,福建省,福州元洪投资区,国务院,其他类型开发区,1992.05,1000.0,粮油食品、能源精化、纺织化纤,119.539537,25.710695,119.535,25.713709,福建省福州市福清市福州元洪投资区,兴趣点,ok,0.868,27.9363,21.449,53043.4209,10.1843,5278.0,0.0,5278.0,5278.0,79544.0,18794.6699,1935851.0,176058.0,31559.1262,3250590.0,202448.0,37207.4369,3832366.0,215918.0,40629.0291,4184790.0,219268.0,45082.233,4643470.0,1990,2000,1935851.0,3250590.0,1314739.0
543,G356029,厦门杏林台商投资开发区,福建省,厦门杏林,国务院,其他类型开发区,1989.05,2521.0,机械装备、纺织服装、电子,118.040836,24.569057,118.035906,24.571784,福建省厦门市集美区杏林,住宅区,ok,0.635,164.9723,124.7534,612663.9289,0.4013,1036.0,0.0,1036.0,1036.0,274072.0,63154.495,6378604.0,310798.0,90268.2574,9117094.0,312681.0,104958.3861,10600797.0,315518.0,114031.7327,11517205.0,326843.0,123794.3564,12503230.0,1990,1990,6378604.0,6378604.0,
544,G356031,厦门集美台商投资开发区,福建省,厦门集美,国务院,其他类型开发区,1992.12,685.0,机械装备、纺织服装、电子,118.097407,24.575976,118.092425,24.578632,福建省厦门市集美区,区县,ok,1.298,191.6075,143.7826,649753.6917,0.1737,279.0,0.0,279.0,279.0,218248.0,53614.14,5361414.0,256574.0,84973.11,8497311.0,264789.0,102896.53,10289653.0,270948.0,113400.95,11340095.0,285295.0,122907.4,12290740.0,1990,2000,5361414.0,8497311.0,3135897.0
545,G356007,湄洲岛国家旅游度假区,福建省,湄洲岛,国务院,其他类型开发区,1992.10,1350.0,旅游、交通运输,119.128483,25.063753,119.123611,25.066378,福建省莆田市秀屿区湄洲岛国家旅游度假区,兴趣点,ok,5.54,,15.548,15625.7666,0.3223,323.0,0.0,323.0,323.0,27371.0,13400.7327,1353474.0,33204.0,14911.1485,1506026.0,34388.0,15075.901,1522666.0,37230.0,15422.495,1557672.0,49171.0,16885.8119,1705467.0,1990,2000,1353474.0,1506026.0,152552.0
546,G356006,武夷山国家旅游度假区,福建省,武夷山,国务院,其他类型开发区,1992.10,1200.0,旅游服务,117.987574,27.651831,117.982555,27.655091,福建省南平市武夷山市国家旅游度假区,住宅区,ok,185.003,14.5989,8.8175,55576.6447,31.2721,8776.0,0.0,8776.0,8776.0,3880.0,2325.9314,237245.0,35726.0,7570.2255,772163.0,82064.0,13515.2255,1378553.0,110898.0,16900.3922,1723840.0,119791.0,18755.7549,1913087.0,1990,2000,237245.0,772163.0,534918.0
547,G376008,青岛石老人国家旅游度假区,山东省,青岛石老人,国务院,其他类型开发区,1992.10,1080.0,旅游、度假、金融、服务,120.465572,36.090121,120.460578,36.089917,山东省青岛市崂山区石老人国家旅游度假区,住宅区,ok,0.477,68.1654,67.2601,346187.4844,0.1911,41.0,0.0,41.0,41.0,121368.0,52173.7426,5269548.0,250806.0,101937.2871,10295666.0,264701.0,126155.8416,12741740.0,271994.0,139295.8119,14068877.0,281118.0,147090.802,14856171.0,1990,2000,5269548.0,10295666.0,5026118.0
548,G456010,北海银滩国家旅游度假区,广西壮族自治区,北海银滩,国务院,其他类型开发区,1992.10,1200.0,旅游、度假,109.155721,21.40364,109.151466,21.406065,广西壮族自治区北海市银海区北海银滩国家旅游度假区,兴趣点,ok,0.145,36.9427,37.5592,113879.4248,0.1777,201.0,0.0,201.0,201.0,70263.0,13686.5743,1382344.0,74890.0,29174.1584,2946590.0,76042.0,47820.198,4829840.0,78058.0,57403.6634,5797770.0,86214.0,61256.1188,6186868.0,1990,2000,1382344.0,2946590.0,1564246.0
549,G466011,三亚亚龙湾国家旅游度假区,海南省,三亚亚龙湾,国务院,其他类型开发区,1992.10,1860.0,滨海休闲、度假旅游、康体,109.649664,18.235582,109.645658,18.23738,海南省三亚市吉阳区亚龙湾国家旅游度假区,兴趣点,ok,0.541,18.1933,14.8207,71302.6115,23.3925,4899.0,0.0,4899.0,4899.0,12419.0,3694.27,369427.0,24829.0,5727.92,572792.0,42133.0,10613.03,1061303.0,51352.0,13711.66,1371166.0,63515.0,17794.43,1779443.0,1990,2000,369427.0,572792.0,203365.0
550,G536012,昆明滇池国家旅游度假区,云南省,昆明滇池,国务院,其他类型开发区,1992.10,1000.0,观光、体育训练、度假旅游,102.689312,24.977182,102.687922,24.980199,云南省昆明市西山区昆明滇池国家旅游度假区,兴趣点,ok,597.125,,64.2935,458091.149,1.09,747.0,0.0,747.0,747.0,8350.0,41929.2718,4318715.0,22420.0,115387.699,11884933.0,104286.0,157435.9515,16215903.0,155098.0,180188.2621,18559391.0,176393.0,187701.165,19333220.0,1990,2000,4318715.0,11884933.0,7566218.0
551,G656035,喀什经济开发区（含新疆生产建设兵团片区）,新疆维吾尔自治区,喀什,国务院,其他类型开发区,2011.09,5000.0,文化、金融、新能源、纺织服装,76.102683,39.464852,76.099512,39.464409,新疆维吾尔自治区喀什地区经济开发区,未知,ok,3552.189,,38.0042,22156.4484,0.2479,29.0,19.0,10.0,-9.0,0.0,3079.6699,317206.0,0.0,8659.5243,891931.0,49299.0,16179.2718,1666465.0,76204.0,20829.1942,2145407.0,79443.0,22555.6214,2323229.0,2010,2015,1666465.0,2145407.0,478942.0
552,G656036,霍尔果斯经济开发区（含新疆生产建设兵团片区）,新疆维吾尔自治区,霍尔果斯,国务院,其他类型开发区,2011.09,7300.0,商贸仓储物流、优势资源精深加工、生物医药,80.427074,44.194802,80.424567,44.193666,新疆维吾尔自治区伊犁哈萨克自治州霍尔果斯市经济开发区,未知,ok,3527.602,18.3077,14.6272,52658.0307,0.015,20.0,20.0,0.0,-20.0,115639.0,24608.8738,2534714.0,131445.0,30202.4175,3110849.0,152703.0,40998.7767,4222874.0,161206.0,47957.9417,4939668.0,161559.0,54578.5534,5621591.0,2010,2015,4222874.0,4939668.0,716794.0
376,G113001,北京天竺综合保税区,北京市,天竺,国务院,海关特殊监管区域,2008.07,594.4,航空贸易、医药贸易、文化贸易,116.566586,40.081183,116.560759,40.080115,北京市顺义区北京天竺综合保税区,住宅区,ok,146.3,26.1657,31.2766,296158.1853,0.1379,646.0,188.0,458.0,270.0,14138.0,37350.4369,3847095.0,107565.0,87809.4854,9044377.0,239519.0,144697.0,14903791.0,308065.0,178176.8544,18352216.0,323010.0,197777.0485,20371036.0,2000,2010,9044377.0,14903791.0,5859414.0
377,G123002,天津港保税区,天津市,港,国务院,海关特殊监管区域,1991.05,500.0,临港加工、国际贸易、物流,117.70693,38.932361,117.700669,38.931512,天津市滨海新区天津港保税区,住宅区,ok,2.192,,32.1968,33130.471,0.0864,48.0,0.0,48.0,48.0,0.0,13262.9307,1339556.0,0.0,18659.5545,1884615.0,57937.0,54133.1485,5467448.0,89576.0,76386.0693,7714993.0,100834.0,85256.8119,8610938.0,1990,2000,1339556.0,1884615.0,545059.0
378,G123003,天津出口加工区,天津市,天津,国务院,海关特殊监管区域,2000.04,254.0,装备制造、家具、冶金,117.738836,39.070819,117.732527,39.069854,天津市滨海新区天津出口加工区(泰丰路),住宅区,ok,1.025,68.3099,65.7245,481892.0569,0.0629,90.0,0.0,90.0,90.0,4354.0,29732.375,3092167.0,35146.0,96258.3942,10010873.0,164319.0,136087.1827,14153067.0,256917.0,160046.7596,16644863.0,273279.0,169783.8558,17657521.0,2000,2010,10010873.0,14153067.0,4142194.0
379,G123004,天津保税物流园区,天津市,天津,国务院,海关特殊监管区域,2004.08,46.0,仓储物流,117.766853,39.005146,117.760565,39.004224,天津市滨海新区保税物流园区,住宅区,ok,0.982,68.9108,66.6815,399755.4567,0.1673,49.0,11.0,38.0,27.0,321415.0,90817.4762,9535835.0,473265.0,143161.0667,15031912.0,498655.0,181206.7048,19026704.0,510066.0,204223.3333,21443450.0,516331.0,217125.7333,22798202.0,2000,2010,15031912.0,19026704.0,3994792.0
380,G123005,天津东疆保税港区,天津市,东疆,国务院,海关特殊监管区域,2006.08,1000.0,交通运输、批发零售、租赁,117.780378,39.052522,117.774104,39.051582,天津市滨海新区天津东疆保税港区,住宅区,ok,1.566,,58.2506,197061.8079,0.0413,15.0,0.0,15.0,15.0,0.0,12069.0291,1243110.0,0.0,56651.9903,5835155.0,51329.0,88814.6505,9147909.0,85699.0,107189.9903,11040569.0,88663.0,114198.932,11762490.0,2000,2010,5835155.0,9147909.0,3312754.0
381,G123006,天津滨海新区综合保税区,天津市,滨海,国务院,海关特殊监管区域,2008.03,159.9,民用航空、物流,117.405925,39.105425,117.399361,39.104259,天津市东丽区天津滨海新区综合保税区,住宅区,ok,27.349,31.2168,22.6704,212512.7531,1.0802,444.0,312.0,132.0,-180.0,588.0,34928.23,3492823.0,5877.0,56095.2,5609520.0,144842.0,107745.68,10774568.0,252561.0,144055.22,14405522.0,282508.0,166978.58,16697858.0,2000,2010,5609520.0,10774568.0,5165048.0
382,G133007,石家庄综合保税区,河北省,石家庄,国务院,海关特殊监管区域,2014.09,286.0,高端制造、物流、国际贸易,114.731465,38.274416,114.72545,38.273792,河北省石家庄市藁城区石家庄综合保税区,住宅区,ok,249.005,,19.6616,72492.3663,0.0072,365.0,4.0,361.0,357.0,2123.0,40624.9216,4143742.0,2778.0,58759.2549,5993444.0,4244.0,69450.5,7083951.0,17670.0,76119.402,7764179.0,88883.0,82917.3333,8457568.0,2010,2015,7083951.0,7764179.0,680228.0
383,G133008,曹妃甸综合保税区,河北省,曹妃甸,国务院,海关特殊监管区域,2012.07,459.0,国际贸易、国际物流、出口加工,118.540446,39.127004,118.534602,39.126098,河北省唐山市曹妃甸区曹妃甸综合保税区,住宅区,ok,0.498,,9.6891,7760.9935,0.0035,3.0,1.0,2.0,1.0,2139.0,1309.1942,134847.0,2239.0,1351.0291,139156.0,9916.0,6776.9417,698025.0,22154.0,12034.932,1239598.0,67118.0,18006.068,1854625.0,2010,2015,698025.0,1239598.0,541573.0
384,G133009,河北秦皇岛出口加工区,河北省,秦皇岛,国务院,海关特殊监管区域,2002.06,250.0,服装加工、金属加工、保税物流,119.836388,40.001801,119.830698,40.00061,河北省秦皇岛市山海关区出口加工区(公交站),公交地铁站点,ok,2.151,45.5926,19.8391,130065.1283,0.0071,1151.0,0.0,1151.0,1151.0,11048.0,32089.8155,3305251.0,65277.0,45816.9515,4719146.0,127454.0,76867.9029,7917394.0,181392.0,98780.6796,10174410.0,220531.0,121334.5146,12497455.0,2000,2010,4719146.0,7917394.0,3198248.0
385,G133010,廊坊综合保税区,河北省,廊坊,国务院,海关特殊监管区域,2018.01,50.0,物流、光机电一体化、精密机械,116.795042,39.570246,116.789024,39.569098,河北省廊坊市广阳区廊坊综合保税区(公交站),公交地铁站点,ok,94.659,17.8054,17.3884,155504.4375,0.0071,999.0,186.0,813.0,627.0,19798.0,29801.798,2950378.0,119488.0,64972.9495,6432322.0,221434.0,119671.6566,11847494.0,285288.0,152730.3232,15120302.0,332868.0,170455.7778,16875122.0,2015,2020,15120302.0,16875122.0,1754820.0
386,G143011,太原武宿综合保税区,山西省,太原武宿,国务院,海关特殊监管区域,2012.08,294.0,加工贸易、保税物流、保税服务,112.610077,37.74305,112.603845,37.742557,山西省太原市小店区太原武宿综合保税区,住宅区,ok,443.586,27.5644,51.8601,389521.3994,0.1294,368.0,132.0,236.0,104.0,164030.0,72052.6346,7493474.0,197493.0,94728.7404,9851789.0,268758.0,131847.4808,13712138.0,307544.0,155459.2981,16167767.0,312608.0,174352.3269,18132642.0,2010,2015,13712138.0,16167767.0,2455629.0
387,G153012,内蒙古呼和浩特出口加工区,内蒙古自治区,呼和浩特,国务院,海关特殊监管区域,2002.06,221.0,光伏、光通讯,111.527645,40.775591,111.520892,40.774282,内蒙古自治区呼和浩特市土默特左旗呼和浩特出口加工区,村庄,ok,563.018,6.2963,11.1363,97854.5638,0.31,77.0,26.0,51.0,25.0,58875.0,19055.1068,1962676.0,108968.0,47123.0485,4853674.0,196373.0,104105.3495,10722851.0,243099.0,135504.068,13956919.0,248881.0,151400.8544,15594288.0,2000,2010,4853674.0,10722851.0,5869177.0
388,G153013,内蒙古鄂尔多斯综合保税区,内蒙古自治区,鄂尔多斯,国务院,海关特殊监管区域,2017.02,121.0,在建,109.886962,39.543508,109.881463,39.542666,内蒙古自治区鄂尔多斯市伊金霍洛旗鄂尔多斯综合保税区,住宅区,ok,670.601,3.3239,1.9998,23727.8203,0.0002,5.0,5.0,0.0,-5.0,926.0,500.3962,53042.0,926.0,516.217,54719.0,1152.0,2759.9717,292557.0,1726.0,4590.3019,486572.0,4593.0,5955.5849,631292.0,2015,2020,486572.0,631292.0,144720.0
389,G153014,满洲里综合保税区,内蒙古自治区,满洲里,国务院,海关特殊监管区域,2015.03,144.0,物流、保税仓储、保税加工,117.379015,49.620586,117.370712,49.618628,内蒙古自治区呼伦贝尔市满洲里市满洲里综合保税区,住宅区,ok,1011.208,7.4309,4.0326,28014.5632,0.0114,0.0,0.0,0.0,0.0,8684.0,7727.7885,803690.0,9211.0,10417.0769,1083376.0,20148.0,14936.8654,1553434.0,25767.0,17240.5769,1793020.0,28968.0,18487.4808,1922698.0,2015,2020,1793020.0,1922698.0,129678.0
390,G213015,沈阳综合保税区,辽宁省,沈阳,国务院,海关特殊监管区域,2011.09,619.82,物流、加工,123.477412,41.653881,123.471412,41.651567,辽宁省沈阳市浑南区沈阳综合保税区,住宅区,ok,152.975,,19.2525,143238.46,0.0201,395.0,66.0,329.0,263.0,474.0,18824.9029,1938965.0,474.0,28189.9709,2903567.0,11631.0,57401.2913,5912333.0,27486.0,81822.5825,8427726.0,100885.0,111443.1165,11478641.0,2010,2015,5912333.0,8427726.0,2515393.0
391,G213016,大连保税区,辽宁省,大连,国务院,海关特殊监管区域,1992.05,125.0,国际贸易、加工贸易、物流仓储,121.804208,39.053605,121.799143,39.05261,辽宁省大连市金州区大连保税区,住宅区,ok,3.011,48.421,34.2352,287507.1287,0.783,1416.0,0.0,1416.0,1416.0,122517.0,52473.9417,5404816.0,401340.0,139452.233,14363580.0,401340.0,179497.699,18488263.0,401894.0,202714.4951,20879593.0,404658.0,214040.7767,22046200.0,1990,2000,5404816.0,14363580.0,8958764.0
392,G213017,辽宁大连出口加工区,辽宁省,大连,国务院,海关特殊监管区域,2000.04,295.0,加工贸易、半导体,121.8121,39.051544,121.807056,39.050564,辽宁省大连市金州区大连出口加工区(鑫汇路),住宅区,ok,2.339,49.5324,33.55,277961.925,0.6465,1467.0,0.0,1467.0,1467.0,219022.0,50802.4242,5029440.0,400969.0,134773.3434,13342561.0,403904.0,177933.5556,17615422.0,405223.0,203257.5758,20122500.0,405948.0,215010.5051,21286040.0,2000,2010,13342561.0,17615422.0,4272861.0
393,G213018,大连大窑湾保税港区,辽宁省,大连大窑湾,国务院,海关特殊监管区域,2006.08,688.0,物流仓储,121.866027,39.003601,121.861131,39.002744,辽宁省大连市金州区大窑湾保税港区,住宅区,ok,0.239,,21.5358,90450.2809,1.5277,4696.0,2242.0,2454.0,212.0,7697.0,17995.1346,1871494.0,246406.0,53827.1058,5598019.0,308234.0,86790.9231,9026256.0,339375.0,106608.0288,11087235.0,348546.0,113200.7404,11772877.0,2000,2010,5598019.0,9026256.0,3428237.0
394,G213019,营口综合保税区,辽宁省,营口,国务院,海关特殊监管区域,2017.12,185.0,在建,122.164769,40.605114,122.159452,40.603486,辽宁省营口市西市区营口综合保税区,住宅区,ok,0.484,,15.3001,13571.1853,0.057,54.0,54.0,0.0,-54.0,481.0,2672.1942,275236.0,3696.0,6158.0291,634277.0,33881.0,24574.2136,2531144.0,51212.0,38177.2136,3932253.0,68946.0,51266.466,5280446.0,2015,2020,3932253.0,5280446.0,1348193.0
395,G223020,长春兴隆综合保税区,吉林省,长春兴隆,国务院,海关特殊监管区域,2011.12,489.0,高端制造、物流、保税展示,125.474811,43.963684,125.468296,43.961325,吉林省长春市宽城区综合保税区,住宅区,ok,474.87,30.1151,14.9885,157244.5578,0.1164,1444.0,289.0,1155.0,866.0,78458.0,20295.5686,2070148.0,82856.0,34090.8137,3477263.0,86462.0,69164.7745,7054807.0,89337.0,94293.3137,9617918.0,96499.0,119222.0,12160644.0,2010,2015,7054807.0,9617918.0,2563111.0
396,G223021,吉林珲春出口加工区,吉林省,珲春,国务院,海关特殊监管区域,2000.04,244.0,木制品加工、建材、水产品加工,130.365829,42.862551,130.358658,42.859894,吉林省延边朝鲜族自治州珲春市,区县,ok,630.234,54.9674,21.5494,172653.4471,0.6456,616.0,0.0,616.0,616.0,279217.0,50444.5922,5195793.0,300043.0,85046.7087,8759811.0,301581.0,104032.2136,10715318.0,303805.0,116398.5825,11989054.0,311825.0,134259.5922,13828738.0,2000,2010,8759811.0,10715318.0,1955507.0
397,G233022,哈尔滨综合保税区,黑龙江省,哈尔滨,国务院,海关特殊监管区域,2016.03,329.0,在建,126.780917,45.695506,126.774738,45.693407,黑龙江省哈尔滨市香坊区哈尔滨综合保税区,住宅区,ok,691.144,27.7625,29.2939,209451.1723,0.2653,878.0,259.0,619.0,360.0,38624.0,65767.4206,7037114.0,52332.0,92146.6636,9859693.0,91149.0,120274.4673,12869368.0,112912.0,136018.9813,14554031.0,141952.0,145984.1028,15620299.0,2015,2020,14554031.0,15620299.0,1066268.0
398,G233023,黑龙江绥芬河综合保税区,黑龙江省,绥芬河,国务院,海关特殊监管区域,2009.04,180.0,进出口贸易、进出口加工、物流仓储,131.115311,44.403064,131.107581,44.400682,黑龙江省牡丹江市绥芬河市绥芬河综合保税区,住宅区,ok,777.206,10.9351,8.8079,92659.0305,24.8514,2505.0,1541.0,964.0,-577.0,291.0,17613.13,1761313.0,4105.0,30518.3,3051830.0,97870.0,47885.38,4788538.0,162915.0,57762.37,5776237.0,184111.0,62137.65,6213765.0,2000,2010,3051830.0,4788538.0,1736708.0
399,G313024,上海漕河泾出口加工区,上海市,漕河泾,国务院,海关特殊监管区域,1992.08,300.0,电子信息、物流、维修检测,121.15114,31.18713,121.146579,31.189042,上海市青浦区青浦出口加工区(公交站),公交地铁站点,ok,38.123,45.642,49.7621,338332.2188,0.1428,145.0,0.0,145.0,145.0,5886.0,23895.5192,2485134.0,43534.0,59380.8942,6175613.0,103926.0,129376.5288,13455159.0,152022.0,170134.4615,17693984.0,188852.0,183703.1346,19105126.0,1990,2000,2485134.0,6175613.0,3690479.0
400,G313025,上海嘉定出口加工区,上海市,嘉定,国务院,海关特殊监管区域,2005.06,300.0,制造、物流、汽车及零部件,121.15114,31.18713,121.146579,31.189042,上海市青浦区青浦出口加工区(公交站),公交地铁站点,ok,38.123,45.642,49.7621,338332.2188,0.1428,145.0,2.0,143.0,141.0,5886.0,23895.5192,2485134.0,43534.0,59380.8942,6175613.0,103926.0,129376.5288,13455159.0,152022.0,170134.4615,17693984.0,188852.0,183703.1346,19105126.0,2000,2010,6175613.0,13455159.0,7279546.0
401,G313026,上海外高桥保税区,上海市,外高桥,国务院,海关特殊监管区域,1990.06,1103.0,出口加工、物流仓储、保税商品展示交易,121.604001,31.317858,121.599793,31.320023,上海市浦东新区外高桥保税区(公交站),公交地铁站点,ok,2.784,110.3585,97.5433,838872.4514,0.0518,73.0,0.0,73.0,73.0,29833.0,94647.0577,9843294.0,162811.0,182934.2115,19025158.0,188601.0,221813.5192,23068606.0,199350.0,242054.5192,25173670.0,201512.0,251064.0192,26110658.0,1990,2000,9843294.0,19025158.0,9181864.0
